message_cid,receiver_code,method_num,exit_code,height,block_cid,seq
bafy2bzacedvuvgpsnwq7i7kltfap6hnp7fdmzf6lr4w34zycjrthb3v7k6zi6,fil/1/account,0,0,67972,bafy2bzacebthpxzlk7zhlkz3jfzl4qw7mdoswcxlf3rkof3b4mbxfj3qzfk7w,1
bafy2bzacedwicofymn4imgny2hhbmcm4o5bikwnv3qqgohyx73fbtopiqlro6,fil/1/account,0,0,67860,bafy2bzacebkr4f4mb2cadkoap5ys2qvgtvues556x2qe7vwlhq3wlxodr4zc4,2
bafy2bzacectirgau6lo4hutpriv35pa3jnybriwqvwugf76rydjwhriui4jv4,fil/1/account,0,0,67463,bafy2bzaceamqqon45zkschnlnevvlaamkutp2n4nrdajfyovh3mjqy2uv5itq,3
bafy2bzacedjvjk4iggzkiv3wuamcwaukg6p2pkooo5yc7viifnqm7yppcczvu,fil/1/storagemarket,2,0,68538,bafy2bzaceaiotqla5yvatdw2t57g2gqbjguwtablcmnlomxdyd6vsjo4k7b4s,1
bafy2bzacecvthf4vpgse4nokyezrjno3lsbd2tdtae7wluyjncwem4zexcsxi,fil/1/storagemarket,2,0,68535,bafy2bzacecijaz7iownsforsrr7mzrgxkgn2luvdii2syyqhu22wtplkvuywe,2
bafy2bzacecoapvt6amqgmyjte2wmft7mkjggwmvomsn3fviz72dfsgwvnxjoa,fil/1/storagemarket,2,0,68410,bafy2bzaceceexgwv4vv3mzumb3dy3osscqsb6qcr6hpnp2qlniybsrxrdnuqq,3
bafy2bzacectbu5cdzhd7uu2winnhbg67w6himlp2y2dzaaw5cly4clyba236k,fil/1/storagemarket,2,0,68145,bafy2bzaceaiuq37b7d3bgvqcfswyyjcxnzdisswx6plbjlc2crbgpj4g24dso,4
bafy2bzaceb2jrwwkzeyqi4obksk6zga7i76rssksksdeiiegrktkzx3j7e5e4,fil/1/storagemarket,2,0,68141,bafy2bzacechg3xa6ccmlvcii2ff4ved67zyssycvktzymx7jgq3yuj3ytkpo4,5
bafy2bzaceazzfff4bqypi5pambc6ym4qacujjle3yrtnchkampsogbxck6w5m,fil/1/storagemarket,2,0,68032,bafy2bzacebmovamcxbjouaizr3v4llqnlxj2dchmvlukhphtneorekhtn4mtq,6
bafy2bzaceayczmjpszczdbfn6mcn3poobcnqgfi4v66u3w77y4gtdjyhaefzs,fil/1/storagemarket,2,0,67959,bafy2bzaceaxt25ekk2rhhzjuu2jfqstwd74h43igx6qapztorkvhcvkn755yk,7
bafy2bzacedapz6orywh4wpzuwuxp4zsvmbiixjdhlp7loxd7wzffaxpr2i5fq,fil/1/storagemarket,2,0,67956,bafy2bzacebkgi4lhsrgkva3blei7arnfmloohurmevswipluhj2rvsx5jy33o,8
bafy2bzacecw32wnnutivyufdncinnh77xguzb7njpijzvunrajttygzoapca2,fil/1/storagemarket,2,0,67954,bafy2bzaceaf5zanud22smzwvixvmoo45el5xkhmtunirlxjrhmtyclhg664si,9
bafy2bzacedddrf3lkgj6bm5mtrv2teeptgqih43kpp5i6lpod7fqr5vogbhqk,fil/1/storagemarket,2,0,67778,bafy2bzaceaynx5jiradxn4pc6lrz4dyrbyjmc5xlwhsdkuqefpt4qmpogjoro,10
bafy2bzacecmvh7pwndzschh3yvqtck42vyzshe2rfc3ssqcxo55ejpbtiook2,fil/1/storagemarket,4,0,69000,bafy2bzaceapyb7vbe7blnspstjte3aq7u7ilffkjluccwehufin5ezpimpgxq,1
