message_cid,receiver_code,method_num,exit_code,height,block_cid,seq
bafy2bzaceb63fanvggzv755ynivxed5pheemkgzynmhxtgddgdzwdy5yghkqu,fil/1/init,2,0,49764,bafy2bzacedqdnkeicbks2h6lw56hsrpk545f2l3nn5y3edoju74y6qawhm2lc,1
bafy2bzacedwdja74rqftednncgevghiofzczwbithh23loz3adgekwj7x76a6,fil/1/init,2,0,49763,bafy2bzacebpyzkqxq2r3qf5dym4zch5phbhckssl7kkithn7ewilzthxgw63a,2
bafy2bzacebcwbx6xiunead6agztdwhnwlynmp4vcpwcppj4kihs7pdyhgpetm,fil/1/init,2,0,49754,bafy2bzacecqwdtnhsacmr5q5n5pkmkv76poa753i5xtadwk43cbp5xupzxkfg,3
bafy2bzaceclrcrhtmax4gaiq23gx7bi3ojdqztqtr4aqcjihuqcfxo33h3pgy,fil/1/init,2,0,47828,bafy2bzacedlvhdqzklhozevjiugzxfem3wohrb4uiu3gfpadj4as7s6tc6xdi,4
bafy2bzacec4s2jf7bynmz5itgi6umke3zwk3gxdpqnlhzqaiop5zjkvpmu434,fil/1/init,2,0,47746,bafy2bzacecwnur3rapawcco2pq4prnosirblz3ejfinay6a4ygcmxvwqiixt2,5
bafy2bzacecng5yiudpjgncxvpvp4l2jsxv4gtdegwqzhbddnj3ckm3aaubqv4,fil/1/init,2,0,47279,bafy2bzacecenek6mpmqe43cm232ly5euzosnfyer7qpsqqqfs3yuc46355xes,6
bafy2bzacebstasejwuhaijhnjhtwrjzqtjkihogcy3gkbqlb7347tbkr6uk3k,fil/1/init,2,0,47214,bafy2bzaceb3zfzl27447blytwthidouzldpvwdyngfiout4inj77gadxhesqo,7
bafy2bzacebqyyweaf5ixfa2dtw4hpjnn37l2hh5gi2i3dfnz7jot6nk6arvm4,fil/1/init,2,0,47206,bafy2bzacecvsv6ynsrwooa7az7oaxx56alhnefwx46jcjwp2imjchpek7ygzm,8
bafy2bzaced5dhjwquhbpnegvljy6c7u2brbfz37objdveszg3rcwpzaqyjaso,fil/1/init,2,0,47051,bafy2bzaceaipianlruywvlz7bhcds7zh34sxftjcryrddgdese4pceb2axztg,9
bafy2bzacedrpfkcluu55o2ywt5o4x2ctxly3467siij2e5kackatec3k5p5m6,fil/1/init,2,0,47007,bafy2bzacebaxqjkzslundhubgiqat5an5ueedmdnqiohu2c5dq7ovgb3z2yf2,10
