message_cid,receiver_code,method_num,exit_code,height,block_cid,seq
bafy2bzaced5fv4iqubsfq2mqsfl7u63w2pnl2gfwvm33s55hchgtrish4lnk4,fil/1/reward,0,0,38283,bafy2bzacebbshq4hyrmgwt5aaw2vhcd6e4hg6t2uvfyfab5mitw2d56bkk22c,1
bafy2bzaced52kpiueadxeulxqz6whw7pp6oijamnn2kthgm3c74efwe7dmnts,fil/1/reward,0,0,38283,bafy2bzaced24mrzhedwj6gbypr64pryuygw6kjtbjxbgumowrc7vjtcrdwyjm,5
bafy2bzacear5bgyi5k3h44h3ccm3kisrhezlftafrssc2s3galykbxygn2jyc,fil/1/reward,0,0,38283,bafy2bzaced24mrzhedwj6gbypr64pryuygw6kjtbjxbgumowrc7vjtcrdwyjm,4
bafy2bzacedgy7oc7gn6mo6c3iin3lak4llvv4erh6ta6iatsos3d57xahnkja,fil/1/reward,0,0,38283,bafy2bzacebbshq4hyrmgwt5aaw2vhcd6e4hg6t2uvfyfab5mitw2d56bkk22c,2
bafy2bzacebeuam3mnxxkankl3yvqqp4kir34ngqw4ktlu42ic256i4v63tv7k,fil/1/reward,0,0,38283,bafy2bzaced24mrzhedwj6gbypr64pryuygw6kjtbjxbgumowrc7vjtcrdwyjm,3
bafy2bzacea72knu7zgx4j4kdke5swkwbjfd4ql37ket74j6vrvxumivh4tfie,fil/1/reward,0,0,36419,bafy2bzacec6xttw5g2lqgo7k7d77jwaqxr6fesa5ovwfgrgls7psl3d2cmxqo,6
bafy2bzaceac2ooqfyctdeqr3rdsb7xkpepwhupy5ccznsvrlmuyqlqu6xju3u,fil/1/reward,0,0,30247,bafy2bzaceaczr3a7qnqphqmao6casaydr2okb7nv7ochoh753kpsvhftz6op2,7
bafy2bzaceaopia2hesncz3vtnd5nglemtqcoaoepauqyjelgd66rjszctt7ra,fil/1/storagemarket,0,0,45266,bafy2bzacedufn65cuchh4xatadaynhsqokxsbcjm3c4wmoi5pntiqhgovouhw,1
bafy2bzaceckqks54ns3ciyzoqdie5cao2hdisussgyktqkvjzznbes6s2mqwy,fil/1/storagemarket,0,0,45265,bafy2bzaced4a3lilr33z52oshnm63cqdahpxubasty73e5xkwu5qfh6ghu5su,2
bafy2bzacea675bbseiou72wo65tgr7no4l7ly4plmga4u4meskfyuv6sx3bd4,fil/1/storagemarket,0,0,45261,bafy2bzacecd32djx3mkqf3ga6v2brul74o25cujfcqtthppk47zv4bl56cmby,3
bafy2bzacebtkpsv3rjm6u7ecbankuk7tblvkuhx6dpwgtjwfkfwioei3xqjx4,fil/1/storagemarket,0,0,45261,bafy2bzacea664wwgkd6wyg37umqkbynrsseubbylklzh7qgp6crpxuvbrxzbs,4
bafy2bzacec7vqclkis6xptk74imkyl6o54qgd33zxcaungufktsmn3xcpf54q,fil/1/storagemarket,0,0,45149,bafy2bzacebpytq74ytmmmzrq6to6gq4qc6qiuomczw7n6luj5yijn76zwxdfi,5
