message_cid,receiver_code,method_num,exit_code,height,block_cid,seq
bafy2bzacecqd4im6qj2jaeusk3ikapgbrtt6rnht6mgxxl3y7eytbwz6cemcy,fil/1/storagemarket,2,0,56611,bafy2bzaceah7u4vfga6dxonq64w76wkunq53wp6zemi5hys2xfvuyd7fepvei,1
bafy2bzacebmdst72dpb7jwo2xejqkb67nt3duhapgzietvz6lpaedwbdgdiau,fil/1/storagemarket,2,0,56575,bafy2bzaceahxeve44ucru466o66nrksifyqtncxwncyrxds57tb2nfpnoszb6,2
bafy2bzacea6kt2ceo3hk7mxyc4gnna5d52dmymxy7hamall33nqjhjv6w7hde,fil/1/storagemarket,2,0,56400,bafy2bzaceditfitpkev2p5jd3iiruytmidk2afqtmi3gxch57mhslrqiskmwe,3
bafy2bzacedvg6r43kyhg2e4nvljuleotswftwb7jwn5tpy5e7tiohjwu7d43w,fil/1/storagemarket,2,0,56194,bafy2bzacebqnlgnplslaqmzofhav2zhrvlitezild2paibwzctdm5ecdopw3u,4
bafy2bzacebzs6pa3d5rfaxwhcnkbmria44ugnszorzoswxfmfbtyaizc5ryuy,fil/1/storagemarket,2,0,56054,bafy2bzaceacfeqen5ldyxxayetw635pjptnidrk74eofh4pl2roig3sg36c5o,5
bafy2bzaceahrgvgtiz3zenvatp3zbjpyme3y7q6jqhora2n54nsxgzpacswra,fil/1/storagemarket,2,0,56051,bafy2bzacedhhz2tiw7bhgcsazau4xfrme3mmg7s4txrbny7jvarqr6nz7lyjm,6
bafy2bzacebe5ltywvvlamwpsgk6ecdvvy23tzginaue6kfhjranyz3f6ikfje,fil/1/storagemarket,2,0,56042,bafy2bzacedigpar6fqazrsmvabwmq6qj3hqcbqaettyctxp7izhnqdukcv4jg,7
bafy2bzaceb7redagyz42pzbxe6g22hu6w4nkvtimo5e6tt27hp7uq2e6kie7m,fil/1/storagemarket,2,0,55598,bafy2bzacea3j4k5b4w6ltoicfkrvhnh224rygsw6as2fywsugi674vwiieydm,8
bafy2bzacec5q2pwunsaxvwrhainopjhkzwwww3pvp6nra6c7xfub4n2mbh5gy,fil/1/storagemarket,2,0,55597,bafy2bzacecg5xgejzz6fi4eqrwfjq2uorn7kgivtxpig2jr54axio76y26ace,9
bafy2bzacedxobf5y52xckgr5j7ntmjfsbxvxxmcdfynw4priboy3zwddlxp2o,fil/1/storagemarket,2,0,55577,bafy2bzaceblugvrcmoy2qwk3ngu5vyby3fawdkgbgl22b4ohgt6f6to26qxxq,10
bafy2bzaceciiqa7xzm2tpxctj2hhdins3ush7yni33ubk7vanculrzdnzbtes,fil/1/storagemarket,2,6,49333,bafy2bzacebj6jxoqcx5c3pz22e7mxpq5yiz3kgky3oke2fuza7yg4pxs5asny,1
bafy2bzacecvbhfpcx7yjm735gfwflo7jadx7mffqggcldjdkro7qsxnw2awsy,fil/1/storagemarket,2,6,32596,bafy2bzaced56rz7syrwecdywkzmnkhalu7oj3a6v3mlppoainy56yoavev6cw,2
bafy2bzacecnpanewojacbkns2ek5e7hpzs32z6ngiaq25cvo6dg6kgfsa4qyq,fil/1/storagemarket,4,0,57566,bafy2bzaceacpzcccd7xubsuiidmzvbw5eeggavuec46ufqntj4honaz4v7x4m,2
bafy2bzacecziet2dfsollbjwqqa4yvrahhxjtjhknqnnjb6ynhkn5l2hbav7k,fil/1/storagemarket,4,0,57566,bafy2bzaceacpzcccd7xubsuiidmzvbw5eeggavuec46ufqntj4honaz4v7x4m,1
bafy2bzaceb5brd6qy6wtlmjzbrc24lbi2ro5i22yvgl2rv4xxwzcbxz2kk2lw,fil/1/storagemarket,4,0,57565,bafy2bzacedmvhewqpe2yd6w6rnveqjxnfvpvm267wlw4hm2iypksxu2w522qg,3
bafy2bzacecyctgiopr4r2ctirq7iipdycc4yzv4oljddkcgbdtn6vhnillef6,fil/1/storagemarket,4,0,57565,bafy2bzacebw3ffzbiktvbdnuugve6772ngn5nmjzgfptoowhnvtavzkudjnek,5
bafy2bzaceam7a4wtwrwhrouvbewmuxyexlf2jf2jmbg33sy2aeigge6heulyk,fil/1/storagemarket,4,0,57565,bafy2bzaceaypd4ej6qlvsqci32qcu2b2jhvrtdqzv6vz4fkbdmipv7u5762pw,4
bafy2bzaceb4l6ugopvkjrwtz2rioxn5ba6fk25p42dvwsx772vwbq53loj7yo,fil/1/storagemarket,4,0,57565,bafy2bzacebw3ffzbiktvbdnuugve6772ngn5nmjzgfptoowhnvtavzkudjnek,8
bafy2bzacediqx3kywu73ilquo2wpeimckv355unlk5iq4o4xujnryozrlrwna,fil/1/storagemarket,4,0,57565,bafy2bzacebw3ffzbiktvbdnuugve6772ngn5nmjzgfptoowhnvtavzkudjnek,9
bafy2bzacec6qyurlpq7sygfkhvwvhx6e73ljz23yd3y5777uwftxm5hgv4mju,fil/1/storagemarket,4,0,57565,bafy2bzacebw3ffzbiktvbdnuugve6772ngn5nmjzgfptoowhnvtavzkudjnek,7
bafy2bzacedptbjotdvonom7oh3kilknjwcxzx5s4jpqyeycyyuygwz4ja3s2q,fil/1/storagemarket,4,0,57565,bafy2bzacebjsnbzbwqjfj3bmzlr6me6yyjihl2ed3t7lwt6zbfddtw4dci4ie,6
bafy2bzacechu6pabplwqzh7dqpz5w5pcpv6d4gj2jwxy6qsyib53le4ccw6kg,fil/1/storagemarket,4,0,57564,bafy2bzacectby47tek37uzhb53ojcadbfweqsf2bok7lotnzazflji76oficc,10
bafy2bzacedsj4omiq25udyrlphhloxhzd6ptmvp7f5jer37xb5csag7c4vp3a,fil/1/storagemarket,4,2,48331,bafy2bzaceal7mtvovmslvilpjdjufsov5vi4mevas6m7a5xovmxisbtxmguh6,1
bafy2bzacedw3ufjrxykwcc62hlkk6gakupkssiq75rh2amzc2endcirq642vk,fil/1/storagemarket,4,2,48294,bafy2bzaceblw3ezbld5aiq2jxd4qyqxc2rijjpgr6yrg3xt6qzr6jstercptc,2
bafy2bzaceac5q4ujmnm3dcaaqltjrtjyxwynxw5vm6nyzzclgpnyarnkhqvt2,fil/1/storagemarket,4,7,54558,bafy2bzacech7flb6745kgfo7lfjwz665gdedofspnoeqeglqbs57q5fqyk6hs,1
bafy2bzacecz6yj7wmnwvikxbnhyciastuemnh2mux4nuvmle3ftbwqqhjbrtq,fil/1/storagemarket,4,7,54119,bafy2bzaced2v2grwaumxi2f2mgijd2rsfdia4wskg7axzt2yiozcfqoa7tnr4,2
bafy2bzacebsnms72g7gzxqqtlcaz5yshphbnhvcpblubksgra6emkmzvhr6q6,fil/1/storagemarket,4,7,54035,bafy2bzacecdbn7pizt2eowyo2cxiorpt7ps4tt25t52ozdnu2m3hiey6algwu,3
bafy2bzacedtycyva76sfhsjnekarea2munenge2pxvvmcrbd6ggqecfu7hs5c,fil/1/storagemarket,4,7,48552,bafy2bzaceaptseixs7qpfxr7io4so4ft23zhh4h3ne4e2534i7c37dynl2f5i,4
bafy2bzaceagiwm5dzbgr5xmsmdbmw2zfaqviib4r6sxbsfaccd7wlxcmnooyy,fil/1/storagemarket,4,7,48552,bafy2bzaceaptseixs7qpfxr7io4so4ft23zhh4h3ne4e2534i7c37dynl2f5i,6
bafy2bzacebyp6zkk3mavqfznrs5ttv4cxj4mzcsumpedoamfld42tkf6sdhcm,fil/1/storagemarket,4,7,48552,bafy2bzaceaptseixs7qpfxr7io4so4ft23zhh4h3ne4e2534i7c37dynl2f5i,5
bafy2bzaceaepx5r45wiiisurortywqptwq3uwkwc3vxc642xzlhhnb7kdnfru,fil/1/storagemarket,4,7,48371,bafy2bzaceb73k5a73xq7254dyuebbnntuxvcibt6j2nlnfx4pi5gpbyylf5we,10
bafy2bzaceahfbm6j5nu4ka5iz4yq3usjq4ntcskjhbxa2n4hs6fqd7zkwoidc,fil/1/storagemarket,4,7,48371,bafy2bzaceb73k5a73xq7254dyuebbnntuxvcibt6j2nlnfx4pi5gpbyylf5we,7
bafy2bzacecmuwomp3lx5hxgafbgeduiqn7wzqfngulr7iz424sgzsjk25rjvo,fil/1/storagemarket,4,7,48371,bafy2bzacebq4vn57sj2vkbzirdnrubzaao5svrbhpmuywbbfjmoc2vp6gmovy,9
bafy2bzacedfeh52q3x5ke5gnjv2ztvugqoeso2woltjxhuq7taxdff4hvkdf2,fil/1/storagemarket,4,7,48371,bafy2bzaceb73k5a73xq7254dyuebbnntuxvcibt6j2nlnfx4pi5gpbyylf5we,8
bafy2bzaceacqgfhaslwkopwrrvch7oukpqddwbwxjpvk6e6qlqloyqsiu3yom,fil/1/storagemarket,4,16,56850,bafy2bzaceaxvunowv3ztes7hd2cd4mgha47cogeyzxonbiwcbegmgtmwwyv5c,1
bafy2bzaceai26is24subvkqqr7loh4vagzh6vx7qphukodemppdu35hytfd44,fil/1/storagemarket,4,16,56850,bafy2bzaceaxvunowv3ztes7hd2cd4mgha47cogeyzxonbiwcbegmgtmwwyv5c,3
bafy2bzacedgxr6se4ycrisofophi3vk5igsrloxlbmr3dejheyzcczyor4aya,fil/1/storagemarket,4,16,56850,bafy2bzaceaxvunowv3ztes7hd2cd4mgha47cogeyzxonbiwcbegmgtmwwyv5c,6
bafy2bzaceava67qe2uye3oce5bge2o6gf42hv6frubnxoovpi2jxub6e5gl7e,fil/1/storagemarket,4,16,56850,bafy2bzaceaxvunowv3ztes7hd2cd4mgha47cogeyzxonbiwcbegmgtmwwyv5c,4
bafy2bzacedirsrccyx2kfuhrnn7763c4xh3wni57rfzuhkyb2cgqdbjlyuuuw,fil/1/storagemarket,4,16,56850,bafy2bzaceaxvunowv3ztes7hd2cd4mgha47cogeyzxonbiwcbegmgtmwwyv5c,2
bafy2bzacebfj6hnbwpnueh2qdwwuupx2p5zbirfi3d6j72w4pke4qwfv37e2q,fil/1/storagemarket,4,16,56850,bafy2bzaceaxvunowv3ztes7hd2cd4mgha47cogeyzxonbiwcbegmgtmwwyv5c,5
bafy2bzaceb2fpy5jq4has2j47m5sr74udd4wyxko4jor3fwgmfpedzw66jppg,fil/1/storagemarket,4,16,56349,bafy2bzacea5v3taavyog4qutnwnwpg534qlibv6pvpavw2tfell4ih53mjy7a,10
bafy2bzaceazpqlsutqmwbgitlz66qekepzddowadywof3d332mwzl2uqazv4c,fil/1/storagemarket,4,16,56349,bafy2bzacecdpoy3rtzyuh2i3rjjx5siau3mcvgkedeu6okvl46fch7w3cdqxo,8
bafy2bzacecs2jrihrpw27qni66u7vwxk6np5uoyt3nz4uc54ghzdab72ovuou,fil/1/storagemarket,4,16,56349,bafy2bzacea5v3taavyog4qutnwnwpg534qlibv6pvpavw2tfell4ih53mjy7a,7
bafy2bzacedl4o5cdjxxcp2hodjp2x7hcd4stlo6odlswbvekuvrukptx54jiw,fil/1/storagemarket,4,16,56349,bafy2bzacecdpoy3rtzyuh2i3rjjx5siau3mcvgkedeu6okvl46fch7w3cdqxo,9
bafy2bzaced2ntlrdipzvr3qmb7l5fkaoxdj7td5hi4mvmoxx55edqnzcy6aqy,fil/1/storagemarket,4,19,52016,bafy2bzacea4fllluiey32txydtkhctj3nounnax33t5s6bqqgjzxv6nf5prcw,1
bafy2bzacearpc3nvsghvyyk6czl33q4zruod6u6fnjugphfe5hepca6hqf77y,fil/1/storagemarket,4,19,52011,bafy2bzaceamarrkuwxa47faq2755qqg6cdupo3oj3iacaw7rllwcyidwucr3e,2
bafy2bzacea446v6mbr57nlpbcicaoxxa7tshcfaf3s264bwofa3zxcoxvdqcu,fil/1/storagemarket,4,19,52010,bafy2bzacebih3hzeshh4bvj3lnhfebbcq5tkf6ezak2annx5jrj6lgybegezq,3
bafy2bzacecjskdrw2y3i2mea3idm2ef3xpstothirm4ibhchobwnbvxr5inee,fil/1/storageminer,0,0,57526,bafy2bzacedo5yj3sthgsvoahogul7arj7bpiuux4zpqk3cahthxg6f7y2h72k,1
bafy2bzacedjl3ynrmmdwlbfia2yvjdxavz32mrvx63ypqawixwwagipzu7hwg,fil/1/storageminer,0,0,57507,bafy2bzacebn2pqrx7fp4kkckugocps6xdflonza47i2zald7oyxr4w3cytuso,2
bafy2bzacedgddiuxdwkaivdri6ktibpvi3f24scd6vu2jgdvfwbwzxjom77zi,fil/1/storageminer,0,0,57476,bafy2bzacebogym2uweb46on7mtocdet2dbjxwapp3eojufhd6vkatycn4gtyu,3
bafy2bzacebmogqhttc7sq4edbouiz6gn5eq7peqethsbimsypvfx72hcjtr46,fil/1/storageminer,0,0,57416,bafy2bzacedz2wlr6h44v2azd76fjlirnp2unvbpdx6yvtylxp4ek7gvipqb7a,4
bafy2bzaced6wchejszpi36a6akuzkfm33iac5pcc3weawvtb3cmsyqnlidn32,fil/1/storageminer,0,0,57405,bafy2bzacecd37affffocae7mrafhk3u5dkx6ytntjsn45jcmhihvsyeq2eaku,5
bafy2bzacedzvan3q2tjmqu6izswb3hspx4okyinqwiscce73vhga3jip6jwua,fil/1/storageminer,0,0,57386,bafy2bzacecl6y6orkk3c4dltsb3ul7krfsb5ukful6b7wwkm22szwc6qjmjy4,6
bafy2bzacebdsbubui3pwcscn33tqgfdqe4xhyf76iqgme6weuujxg5viuew6s,fil/1/storageminer,0,0,57376,bafy2bzaceao42c6heemflelkujgsuokiqrxmxfocnitiwimokz2yawj5g7ak2,7
bafy2bzaceawg7m62cvp2oz4arkz6ftxdowzq7orllatd2a2aojqzu2xujguwe,fil/1/storageminer,0,0,57356,bafy2bzaceclpxgxb2azidcz26btqxcc54t6gylmf2pctlbrl7hkbuomrnr36s,8
bafy2bzacebcvnbaih76m53lgdwjktjaq4az7ft7gyzhecuyh534kmxk65aksg,fil/1/storageminer,0,0,57346,bafy2bzaceaezk3nlaappywinzs7z7vcsiid2emre6ktrqnfs3rz2t6hhnkyps,9
bafy2bzacebi7knwzti6pogd6yib72fhxl2bqn3heylduvsq6kefke7dyjsexc,fil/1/storageminer,0,0,57316,bafy2bzacedjhzccpwpunrkszuxhqbo2yhudq72ld7m5xkzcpzny35nd35fzqu,10
bafy2bzaceb35avh6raml3r4o3rfecfsezoziyni2hbdp7dtotphpklxi7zsdo,fil/1/storageminer,0,6,53410,bafy2bzaceblehoxtl6nvxhq4nhqfrwas7kaxksvfxa5expfrrojer6f7p3za4,1
bafy2bzacedpryg4kkrrxodd3vncsl32hwwonfs7isla3nefhebudru2ifjle4,fil/1/storageminer,0,6,50801,bafy2bzaceat36exjlk3mvf2e46eoyjnxdediop6m4s3consxwcfelb3n7gney,2
bafy2bzaceao7ijn7zdv2kbxuthtgd25vsixegnupe6mkhiylou5df2etrktto,fil/1/storageminer,0,6,50296,bafy2bzacedv4ue26xad3lqdpjnz7zj4flgr4nl7dglt6soqje4aoqx25utnuy,3
bafy2bzacea7pmeqq2oxh2e564sa552mp4f2udbolgtdx4iifdq526qqfkq2ey,fil/1/storageminer,0,6,50185,bafy2bzacebt7ad3zn4bdd2iqk3zj6ccu475cadvesgu6wwxjd3d34dzafeola,4
bafy2bzacebyc4vtquotyfpjinw3af2foamxikmq5n2yskyqauq2k3g2hsti4q,fil/1/storageminer,0,6,50185,bafy2bzacea6rsrdgrdzx43wa5j6dbkk2xzrur7uos6k5chvm3ricopgtrqeza,5
bafy2bzaceb5fycigllhp37csg44woplzpg7dq52xrlj7erri4ujvni3ex3w4w,fil/1/storageminer,0,6,50185,bafy2bzacea6rsrdgrdzx43wa5j6dbkk2xzrur7uos6k5chvm3ricopgtrqeza,6
